"district","street_type","name"
"Залізничний","Вулиця","Лукича Івана"
"Галицький","Вулиця","Лукіяновича Дениса"
"Залізничний","Вулиця","Луцька"
"Залізничний","Вулиця","Луцького Остапа"
"Залізничний","Вулиця","Лучкая Михайла"
"Залізничний","Вулиця","Лушпинського Олександра"
"Залізничний","Вулиця","Любінська"
"Франківський","Вулиця","Любінська"
"Галицький","Вулиця","Людкевича Станіслава"
"Шевченківський","Вулиця","Люльки Архипа"
"Залізничний","Вулиця","Лютнева"
"Шевченківський","Вулиця","Ляйнберга Семена"
"Личаківський","Вулиця","Льва Толстого"
"Шевченківський","Вулиця","Льняна"
"Шевченківський","Вулиця","Мазепи Івана"
"Франківський","Вулиця","Маївського Дмитра"
"Сихівський","Вулиця","Майданна"
"Личаківський","Вулиця","Майорівка"
"Франківський","Вулиця","Маковея Осипа"
"Сихівський","Вулиця","Максимовича Михайла"
"Личаківський","Вулиця","Мала"
"Галицький","Площа","Маланюка Євгена"
"Шевченківський","Вулиця","Малинова"
"Залізничний","Вулиця","Малицької Костянтини"
"Личаківський","Вулиця","Малі Кривчиці"
"Шевченківський","Вулиця","Малоголосківська"
"Сихівський","Вулиця","Манастирського Антона"
"Залізничний","Вулиця","Марка Вовчка"
"Галицький","Вулиця","Мартовича Леся"
"Личаківський","Вулиця","Марунька"
"Шевченківський","Вулиця","Маршалівка"
"Шевченківський","Вулиця","Масарика Томаша"
"Галицький","Вулиця","Матейка Яна"
"Залізничний","Вулиця","Мацієвича Лева"
"Залізничний","Вулиця","Машиністів"
"Сихівський","Вулиця","Меблярська"
"Франківський","Вулиця","Медведецького Юрія"
"Шевченківський","Вулиця","Медова"
"Личаківський","Вулиця","Медової печери"
"Сихівський","Вулиця","Межова"
"Шевченківський","Вулиця","Мележа Івана"
"Франківський","Вулиця","Мельника Андрія"
"Шевченківський","Вулиця","Мельничука Степана"
"Галицький","Вулиця","Менделєєва Дмитра"
"Галицький","Вулиця","Менцинського Модеста"
"Залізничний","Вулиця","Меретина Бернарда"
"Личаківський","Вулиця","Металістів"
"Личаківський","Вулиця","Метлинського Амвросія"
"Франківський","Вулиця","Метрологічна"
"Личаківський","Вулиця","Механічна"
"Личаківський","Вулиця","Мечникова Ільї"
"Личаківський","Вулиця","Миклухо-Маклая Миколая"
"Шевченківський","Вулиця","Миколайчука Івана"
"Франківський","Вулиця","Мила"
"Личаківський","Вулиця","Милорадович Єлизавети"
