"district","street_type","name"
"Солом'янський","Вулиця","Залісна"
"Солом'янський","Вулиця","Заломова Петра"
"Голосіївський","Вулиця","Залужна"
"Голосіївський","Провулок","Залужний"
"Голосіївський","Вулиця","Замивна"
"Дарницький","Провулок","Заміський"
"Подільський","Вулиця","Замковецька"
"Подільський","Провулок","Замковецький"
"Печерський","Вулиця","Заньковецької"
"Деснянський","Провулок","Заозерний"
"Подільський","Вулиця","Запа́динська"
"Печерський","Провулок","Запечерний"
"Солом'янський","Вулиця","Заповітна"
"Солом'янський","Провулок","Заповітний"
"Дніпровський","Вулиця","Запорожця Петра"
"Деснянський","Вулиця","Запорожця Петра"
"Дарницький","Вулиця","Зарічна"
"Дарницький","Вулиця","Заслонова Костянтина"
"Голосіївський","Вулиця","Затєвахіна Полковника"
"Дарницький","Вулиця","Затишна"
"Подільський","Вулиця","Захарівська"
"Солом'янський","Вулиця","Західна"
"Солом'янський","Провулок","Західний"
"Святошинський","Вулиця","Зв'язківців"
"Святошинський","Вулиця","Звенигородська"
"Печерський","Вулиця","Звіринецька"
"Печерський","Провулок","Звіринецький"
"Солом'янський","Вулиця","Згурівська"
"Дарницький","Вулиця","Здолбунівська"
"Святошинський","Вулиця","Зелена"
"Солом'янський","Вулиця","Зелена"
"Солом'янський","Вулиця","Зеленогірська"
"Подільський","Провулок","Зелінського Академіка"
"Подільський","Вулиця","Землянична"
"Печерський","Вулиця","Землянська"
"Печерський","Провулок","Землянський"
"Солом'янський","Вулиця","Зенітна"
"Подільський","Вулиця","Зимова"
"Деснянський","Провулок","Зимовий"
"Солом'янський","Вулиця","Златопільська"
"Солом'янський","Вулиця","Знам'янська"
"Дарницький","Вулиця","Зовнішня"
"Святошинський","Вулиця","Зодчих"
"Дніпровський","Вулиця","Золота"
"Голосіївський","Вулиця","Золоті джерела"
"Шевченківський","Вулиця","Золотоворітська"
"Шевченківський","Проїзд","Золотоворітський"
"Голосіївський","Вулиця","Золотоніська"
"Шевченківський","Вулиця","Золотоустівська"
